Year,Race,No,Driver,Car,Pos (race),Points,Pos (qualifying),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed,Name
2022,Austria,4,1.6,1.9,7,6,15,20.26,35.14,939.71,0,30.75,165.43,1.26,Lando Norris NOR
2022,France,10,1.4,1.0,12,0,16,30.16,47.73,967.91,0,54.46,118.15,1.95,Pierre Gasly GAS
2022,France,23,1.2,1.9,13,0,15,30.16,47.73,967.91,0,54.46,118.15,1.95,Alexander Albon ALB
2022,France,11,1.3,1.8,4,12,3,30.16,47.73,967.91,0,54.46,118.15,1.95,Sergio Perez PER
2022,France,55,1.6,1.6,5,11,9,30.16,47.73,967.91,0,54.46,118.15,1.95,Carlos Sainz SAI
2022,France,14,1.2,1.2,6,8,7,30.16,47.73,967.91,0,54.46,118.15,1.95,Fernando Alonso ALO
2022,France,4,1.6,1.9,7,6,5,30.16,47.73,967.91,0,54.46,118.15,1.95,Lando Norris NOR
2022,France,31,1.4,1.2,8,4,12,30.16,47.73,967.91,0,54.46,118.15,1.95,Esteban Ocon OCO
2022,France,3,1.0,1.9,9,2,11,30.16,47.73,967.91,0,54.46,118.15,1.95,Daniel Ricciardo RIC
2022,France,77,1.5,1.6,14,0,13,30.16,47.73,967.91,0,54.46,118.15,1.95,Valtteri Bottas BOT
2022,France,18,1.0,1.9,10,1,17,30.16,47.73,967.91,0,54.46,118.15,1.95,Lance Stroll STR
2022,France,44,2.2,1.9,2,18,4,30.16,47.73,967.91,0,54.46,118.15,1.95,Lewis Hamilton HAM
2022,France,1,2.1,1.8,1,25,2,30.16,47.73,967.91,0,54.46,118.15,1.95,Max Verstappen VER
2022,France,24,0.9,1.6,16,0,18,30.16,47.73,967.91,0,54.46,118.15,1.95,Zhou Guanyu ZHO
2022,France,20,1.0,1.6,17,0,10,30.16,47.73,967.91,0,54.46,118.15,1.95,Kevin Magnussen MAG
2022,France,16,1.7,1.6,17,0,1,30.16,47.73,967.91,0,54.46,118.15,1.95,Charles Leclerc LEC
2022,France,22,1.0,1.0,17,0,8,30.16,47.73,967.91,0,54.46,118.15,1.95,Yuki Tsunoda TSU
2022,France,63,1.8,1.9,3,15,6,30.16,47.73,967.91,0,54.46,118.15,1.95,George Russell RUS
2022,Hungary,1,2.1,1.8,1,25,10,18.56,69.32,985.58,46,26.72,285.23,4.03,Max Verstappen VER
2022,Hungary,44,2.2,1.9,2,19,7,18.56,69.32,985.58,46,26.72,285.23,4.03,Lewis Hamilton HAM
2022,Hungary,10,1.4,1.0,12,0,19,18.56,69.32,985.58,46,26.72,285.23,4.03,Pierre Gasly GAS
2022,Hungary,24,0.9,1.6,13,0,12,18.56,69.32,985.58,46,26.72,285.23,4.03,Zhou Guanyu ZHO
2022,Hungary,55,1.6,1.6,4,12,2,18.56,69.32,985.58,46,26.72,285.23,4.03,Carlos Sainz SAI
2022,Hungary,63,1.8,1.9,3,15,1,18.56,69.32,985.58,46,26.72,285.23,4.03,George Russell RUS
2022,Hungary,18,1.0,1.9,11,0,14,18.56,69.32,985.58,46,26.72,285.23,4.03,Lance Stroll STR
2022,Hungary,77,1.5,1.6,20,0,8,18.56,69.32,985.58,46,26.72,285.23,4.03,Valtteri Bottas BOT
